iter	RMSE
0	109.3297724
1	109.3256491
2	109.3228383
3	109.3193068
4	109.3157811
5	109.3126969
6	109.3099649
7	109.3062479
8	109.3031562
9	109.3004112
10	109.2959674
11	109.2917562
12	109.2865775
13	109.2827382
14	109.2815765
15	109.278408
16	109.2743425
17	109.2710752
18	109.2678424
19	109.265649
20	109.2616434
21	109.2584865
22	109.2560916
23	109.2521993
24	109.24907
25	109.246963
26	109.2430686
27	109.2404605
28	109.238526
29	109.2364891
30	109.2327975
31	109.2291241
32	109.2257524
33	109.2217839
34	109.2186373
35	109.2160871
36	109.2159564
37	109.2128755
38	109.2107859
39	109.2080036
40	109.2041504
41	109.2025131
42	109.1994621
43	109.1960152
44	109.1932218
45	109.1894522
46	109.1867781
47	109.1850729
48	109.1818638
49	109.1786132
50	109.1761127
51	109.1737861
52	109.1704767
53	109.1689964
54	109.1669544
55	109.1647058
56	109.1623373
57	109.1595979
58	109.1578453
59	109.1551362
60	109.1533195
61	109.1506408
62	109.1480006
63	109.1437832
64	109.1414151
65	109.1373529
66	109.133806
67	109.1314187
68	109.1290598
69	109.126955
70	109.1255733
71	109.1233813
72	109.1233075
73	109.1207076
74	109.1181183
75	109.1163839
76	109.1145649
77	109.1134407
78	109.1103519
79	109.1077454
80	109.1061626
81	109.1052265
82	109.1022517
83	109.1010747
84	109.0988298
85	109.0965588
86	109.0951936
87	109.0932028
88	109.0911568
89	109.0895351
90	109.0876184
91	109.0855829
92	109.0837818
93	109.0814845
94	109.0780611
95	109.0755176
96	109.0705453
97	109.0671516
98	109.0627815
99	109.0587986
100	109.0570359
101	109.0527246
102	109.0504384
103	109.0476343
104	109.0452339
105	109.0422257
106	109.0387466
107	109.0359779
108	109.0341869
109	109.0320072
110	109.0290265
111	109.0265136
112	109.0251503
113	109.0235206
114	109.0224903
115	109.0205691
116	109.0187675
117	109.0133887
118	109.0115636
119	109.0102003
120	109.008202
121	109.0058465
122	109.0036019
123	109.0009427
124	108.9976375
125	108.9958498
126	108.9946112
127	108.99264
128	108.9920251
129	108.9891525
130	108.9863114
131	108.9854261
132	108.984322
133	108.9824354
134	108.9781812
135	108.9756037
136	108.9738772
137	108.9725983
138	108.9707432
139	108.9684602
140	108.9660736
141	108.9644154
142	108.9621406
143	108.9601234
144	108.9588997
145	108.9572476
146	108.9545699
147	108.9518162
148	108.9493998
149	108.9475046
150	108.9449364
151	108.9406192
152	108.9394006
153	108.9366407
154	108.9350529
155	108.932385
156	108.9313895
157	108.9292537
158	108.9267936
159	108.9243391
160	108.92234
161	108.9191427
162	108.9160593
163	108.9148611
164	108.9128007
165	108.9106596
166	108.9089171
167	108.9072816
168	108.9048555
169	108.9011245
170	108.8983058
171	108.8960502
172	108.8931412
173	108.8914025
174	108.8900457
175	108.8879723
176	108.8864429
177	108.8846539
178	108.8812911
179	108.8789926
180	108.8778464
181	108.8752819
182	108.8728673
183	108.8695567
184	108.868089
185	108.8665409
186	108.8649892
187	108.8613684
188	108.85903
189	108.8561131
190	108.8535886
191	108.8517128
192	108.8490781
193	108.8480312
194	108.8466558
195	108.8441419
196	108.8426745
197	108.8414901
198	108.8404742
199	108.8372903
200	108.8335183
201	108.8317928
202	108.8291824
203	108.8261504
204	108.8247517
205	108.8225427
206	108.821247
207	108.8181462
208	108.814864
209	108.8132233
210	108.8112332
211	108.8094187
212	108.8076305
213	108.8060282
214	108.8044591
215	108.8027323
216	108.8007953
217	108.7993156
218	108.7977972
219	108.79651
220	108.7947281
221	108.7926927
222	108.7889713
223	108.788141
224	108.7864299
225	108.7843102
226	108.7834477
227	108.7813506
228	108.7800324
229	108.7763207
230	108.7744086
231	108.7731812
232	108.7721887
233	108.7695283
234	108.7682176
235	108.7664532
236	108.7654705
237	108.7637553
238	108.7616627
239	108.7601138
240	108.7567453
241	108.7536583
242	108.7516505
243	108.7505083
244	108.7493024
245	108.7473692
246	108.7445419
247	108.7426648
248	108.7404125
249	108.7376192
250	108.7348286
251	108.7326492
252	108.7304256
253	108.728833
254	108.7265268
255	108.7248531
256	108.723144
257	108.7209168
258	108.7205785
259	108.7187897
260	108.7174708
261	108.7166724
262	108.7153113
263	108.7134039
264	108.7106883
265	108.7091435
266	108.7068948
267	108.7048573
268	108.7020744
269	108.6994421
270	108.6980131
271	108.6965024
272	108.6942667
273	108.6928138
274	108.6921942
275	108.6904766
276	108.6890944
277	108.6874395
278	108.6859607
279	108.6838684
280	108.6815655
281	108.6791485
282	108.6766341
283	108.6741308
284	108.6724767
285	108.6704633
286	108.6683948
287	108.6669536
288	108.6651371
289	108.6629563
290	108.6602356
291	108.6582324
292	108.6558378
293	108.6533896
294	108.6513594
295	108.6488542
296	108.6469337
297	108.6440136
298	108.6413211
299	108.6397779
300	108.6380802
301	108.6357063
302	108.6337402
303	108.6312444
304	108.6273791
305	108.6263186
306	108.6247868
307	108.6214616
308	108.6172013
309	108.6146831
310	108.6134773
311	108.6121822
312	108.6104831
313	108.6088337
314	108.6078616
315	108.6059496
316	108.6033633
317	108.6014179
318	108.5994051
319	108.5967981
320	108.5942757
321	108.5928732
322	108.5905595
323	108.5871505
324	108.585633
325	108.5830826
326	108.5808515
327	108.57846
328	108.5755177
329	108.5728901
330	108.5704065
331	108.5687541
332	108.5670232
333	108.5645835
334	108.5624584
335	108.5600173
336	108.5575124
337	108.5552898
338	108.5533943
339	108.5512581
340	108.5478572
341	108.5468439
342	108.5447443
343	108.542792
344	108.5390764
345	108.5367281
346	108.5321772
347	108.5290393
348	108.5258872
349	108.5227357
350	108.5200766
351	108.5172699
352	108.5149733
353	108.5121593
354	108.5087838
355	108.5042492
356	108.4997511
357	108.4975678
358	108.4945279
359	108.4915501
360	108.4889015
361	108.4858601
362	108.4830688
363	108.4792758
364	108.4766825
365	108.4738096
366	108.4716473
367	108.4684159
368	108.4648114
369	108.461453
370	108.4584981
371	108.4565858
372	108.4538204
373	108.4515928
374	108.4486796
375	108.4468097
376	108.4446327
377	108.4425075
378	108.4392796
379	108.4370912
380	108.4353042
381	108.4320996
382	108.4285455
383	108.4255459
384	108.4238798
385	108.4216909
386	108.4201248
387	108.4177467
388	108.416148
389	108.4137076
390	108.4113767
391	108.4095763
392	108.4072662
393	108.4053874
394	108.4027091
395	108.4003979
396	108.398402
397	108.3955976
398	108.3937748
399	108.3892408
400	108.3861032
401	108.3827215
402	108.3790886
403	108.3761759
404	108.3731878
405	108.3706218
406	108.3681648
407	108.365415
408	108.3621315
409	108.3597999
410	108.3569195
411	108.3549152
412	108.3527062
413	108.3515663
414	108.3482233
415	108.3459622
416	108.3426058
417	108.3388185
418	108.3357658
419	108.333545
420	108.3293106
421	108.3276372
422	108.3252322
423	108.3233283
424	108.3205304
425	108.3175845
426	108.316024
427	108.3144734
428	108.3117476
429	108.3097732
430	108.3077282
431	108.3051868
432	108.303275
433	108.2992137
434	108.2970702
435	108.2936896
436	108.2907013
437	108.2892621
438	108.2861013
439	108.2837042
440	108.2814653
441	108.2791853
442	108.2766395
443	108.2742322
444	108.2716845
445	108.2692774
446	108.2679074
447	108.2652657
448	108.2631797
449	108.2600969
450	108.2577
451	108.2535375
452	108.2506129
453	108.249114
454	108.2459699
455	108.2429118
456	108.2413197
457	108.2373373
458	108.2355772
459	108.2323583
460	108.2301534
461	108.2274274
462	108.2250323
463	108.2238782
464	108.2203708
465	108.2177476
466	108.2154894
467	108.2134903
468	108.2108115
469	108.2086946
470	108.205982
471	108.2031576
472	108.2001399
473	108.1968666
474	108.1947233
475	108.1923768
476	108.1893283
477	108.187327
478	108.1844022
479	108.1822923
480	108.1798984
481	108.1779809
482	108.1759787
483	108.1740716
484	108.1714092
485	108.1688679
486	108.1671036
487	108.1654962
488	108.1632734
489	108.1605034
490	108.1589607
491	108.1558806
492	108.1538982
493	108.1510673
494	108.1496382
495	108.1466186
496	108.1447825
497	108.1419866
498	108.1404929
499	108.1375583
500	108.1345423
501	108.1323555
502	108.1300744
503	108.1273816
504	108.1249495
505	108.1211484
506	108.1178392
507	108.1160953
508	108.1135504
509	108.1102127
510	108.1076263
511	108.1055447
512	108.1035151
513	108.100873
514	108.0987088
515	108.0965312
516	108.0938453
517	108.0912859
518	108.0888368
519	108.0864508
520	108.0851066
521	108.0833362
522	108.0824211
523	108.080123
524	108.077579
525	108.0750053
526	108.0737091
527	108.0720023
528	108.069862
529	108.0684878
530	108.0662471
531	108.0633501
532	108.0613466
533	108.0599046
534	108.05823
535	108.056115
536	108.0531306
537	108.0512499
538	108.0492535
539	108.0474872
540	108.0457209
541	108.0431428
542	108.0417606
543	108.0396393
544	108.0382457
545	108.0360048
546	108.0334339
547	108.0321175
548	108.0298692
549	108.0285361
550	108.0269679
551	108.0239574
552	108.0217369
553	108.0200206
554	108.0179386
555	108.0158453
556	108.0136735
557	108.010759
558	108.0079955
559	108.0061473
560	108.0033474
561	108.0023013
562	107.9994673
563	107.9969659
564	107.9951719
565	107.9932427
566	107.990788
567	107.9880903
568	107.9863221
569	107.9853092
570	107.9835017
571	107.9817651
572	107.9791193
573	107.9774682
574	107.9749051
575	107.9727161
576	107.9709677
577	107.9688062
578	107.9669906
579	107.9646295
580	107.9618516
581	107.9596732
582	107.9576022
583	107.9548541
584	107.9532687
585	107.9507778
586	107.9483963
587	107.9461669
588	107.9446098
589	107.9429131
590	107.9406598
591	107.9382575
592	107.9357207
593	107.934047
594	107.9323766
595	107.9299876
596	107.9279297
597	107.9261957
598	107.9237623
599	107.9215027
600	107.9193895
601	107.9170788
602	107.9139585
603	107.9118167
604	107.9097753
605	107.9080429
606	107.9057938
607	107.9037251
608	107.9005494
609	107.898527
610	107.8956265
611	107.8927858
612	107.8901327
613	107.8869763
614	107.8846439
615	107.8827077
616	107.8813393
617	107.8791058
618	107.8763593
619	107.8744516
620	107.8731011
621	107.871336
622	107.8693208
623	107.8669763
624	107.8658409
625	107.8632227
626	107.860812
627	107.8588909
628	107.8563604
629	107.8550274
630	107.8529897
631	107.8509775
632	107.8497128
633	107.8478412
634	107.8462287
635	107.8444201
636	107.8434147
637	107.8417034
638	107.8400386
639	107.8374503
640	107.8348797
641	107.8326077
642	107.8304097
643	107.82835
644	107.8257892
645	107.8245147
646	107.8223295
647	107.8205176
648	107.8177465
649	107.8158305
650	107.8135355
651	107.8119316
652	107.8092575
653	107.8076981
654	107.8057741
655	107.8043807
656	107.8024451
657	107.7993886
658	107.7968826
659	107.794501
660	107.7927072
661	107.7903292
662	107.7883719
663	107.7864433
664	107.7847159
665	107.7831209
666	107.7818374
667	107.7791351
668	107.7768865
669	107.7743307
670	107.7720682
671	107.7704644
672	107.7688468
673	107.7672614
674	107.7659816
675	107.7632567
676	107.761661
677	107.7595551
678	107.7573322
679	107.7549261
680	107.7535241
681	107.7518325
682	107.7504507
683	107.747426
684	107.745559
685	107.7440419
686	107.7419299
687	107.7385468
688	107.7365543
689	107.7345883
690	107.7325676
691	107.7314266
692	107.7283235
693	107.7253794
694	107.7234522
695	107.7212201
696	107.7184996
697	107.7167717
698	107.7149818
699	107.7135691
700	107.7111666
701	107.7095162
702	107.7080395
703	107.7063219
704	107.7046143
705	107.7011092
706	107.6988173
707	107.6963827
708	107.6944686
709	107.6921629
710	107.6899112
711	107.6876449
712	107.6858678
713	107.6832938
714	107.6817674
715	107.6809596
716	107.6786947
717	107.6769553
718	107.6743417
719	107.6726848
720	107.6711337
721	107.6676817
722	107.6654619
723	107.6639421
724	107.6620779
725	107.6603207
726	107.6585965
727	107.6566248
728	107.654026
729	107.6515619
730	107.6500558
731	107.647865
732	107.646376
733	107.6441896
734	107.6425329
735	107.6404169
736	107.6381778
737	107.6366932
738	107.6335403
739	107.6315606
740	107.6302042
741	107.6282315
742	107.6261758
743	107.6245376
744	107.6223483
745	107.6207019
746	107.6180416
747	107.615443
748	107.6128475
749	107.6112331
750	107.6090882
751	107.6072185
752	107.6059565
753	107.6043689
754	107.602106
755	107.6003655
756	107.5985982
757	107.5959367
758	107.5942559
759	107.5933695
760	107.5909075
761	107.5884712
762	107.5861422
763	107.5836519
764	107.5814044
765	107.5794341
766	107.5770906
767	107.575811
768	107.5735413
769	107.5711037
770	107.5695558
771	107.5678515
772	107.565917
773	107.563316
774	107.5605349
775	107.5589171
776	107.5570879
777	107.5538948
778	107.5523306
779	107.5508649
780	107.5493015
781	107.5479236
782	107.5442541
783	107.5430172
784	107.5416637
785	107.5400899
786	107.5393402
787	107.5372439
788	107.5348178
789	107.5327963
790	107.5304956
791	107.5290317
792	107.5271842
793	107.525555
794	107.5233696
795	107.5214474
796	107.5192974
797	107.5163569
798	107.5151242
799	107.5128032
800	107.5112373
801	107.5099453
802	107.5083118
803	107.5061858
804	107.505127
805	107.5033537
806	107.5019982
807	107.5004493
808	107.498456
809	107.4970409
810	107.4940578
811	107.4905904
812	107.4883631
813	107.4859964
814	107.4829728
815	107.4820129
816	107.4801199
817	107.4787096
818	107.4763926
819	107.4739379
820	107.4713298
821	107.4690289
822	107.4673983
823	107.4656331
824	107.463928
825	107.4619212
826	107.4598203
827	107.4579044
828	107.4559135
829	107.4541047
830	107.4524588
831	107.450132
832	107.4482015
833	107.4466836
834	107.4455012
835	107.4434226
836	107.4419181
837	107.4398616
838	107.4377595
839	107.4361267
840	107.4344061
841	107.4327988
842	107.4308722
843	107.4287128
844	107.4266855
845	107.4250997
846	107.4235224
847	107.4213253
848	107.4197697
849	107.4179235
850	107.4157264
851	107.4145483
852	107.4124789
853	107.4098195
854	107.4075101
855	107.4055719
856	107.4042838
857	107.4021352
858	107.4002859
859	107.3985748
860	107.3974545
861	107.3956404
862	107.393163
863	107.3913068
864	107.3895573
865	107.3872505
866	107.3858617
867	107.3849814
868	107.3831575
869	107.3812926
870	107.3790049
871	107.3773673
872	107.375149
873	107.3731993
874	107.3717141
875	107.3701323
876	107.3681252
877	107.3662162
878	107.3646875
879	107.362573
880	107.3610261
881	107.3591807
882	107.3579087
883	107.3564174
884	107.354201
885	107.3520716
886	107.3497377
887	107.3486084
888	107.3465753
889	107.344427
890	107.3426364
891	107.3407727
892	107.3401626
893	107.3390282
894	107.3371695
895	107.3354069
896	107.3336086
897	107.3316059
898	107.3300247
899	107.3285509
900	107.3267064
901	107.325199
902	107.3228107
903	107.321309
904	107.3203886
905	107.3183188
906	107.3157779
907	107.3117558
908	107.3091381
909	107.3076346
910	107.3054702
911	107.3041742
912	107.3016595
913	107.3004511
914	107.2983106
915	107.2970989
916	107.2947368
917	107.2933578
918	107.2916221
919	107.2898036
920	107.2874065
921	107.285517
922	107.283034
923	107.2810834
924	107.2796866
925	107.2788193
926	107.2783191
927	107.2759571
928	107.2735667
929	107.2709638
930	107.269202
931	107.2672938
932	107.2653419
933	107.2634691
934	107.2619586
935	107.2607665
936	107.258558
937	107.2567543
938	107.2549314
939	107.252804
940	107.2512325
941	107.2474103
942	107.2456638
943	107.2442696
944	107.242748
945	107.2404991
946	107.2387699
947	107.2374802
948	107.2362201
949	107.2343605
950	107.2325128
951	107.2304566
952	107.2271219
953	107.2257079
954	107.2245488
955	107.2231111
956	107.2222897
957	107.2206531
958	107.2192028
959	107.2172747
960	107.2151608
961	107.2134151
962	107.211993
963	107.2086184
964	107.20663
965	107.2045362
966	107.2035739
967	107.201732
968	107.2000662
969	107.1987924
970	107.1969964
971	107.1947183
972	107.1935023
973	107.1909585
974	107.1899669
975	107.1872306
976	107.1853166
977	107.1843932
978	107.1829813
979	107.1804101
980	107.1784116
981	107.1765041
982	107.1748721
983	107.1737202
984	107.172593
985	107.170838
986	107.1694632
987	107.1672604
988	107.1662616
989	107.1649528
990	107.1626396
991	107.1617746
992	107.1600226
993	107.1572249
994	107.1559226
995	107.1540021
996	107.1529128
997	107.1518466
998	107.149835
999	107.1482978
