iter	Passed	Remaining
0	49	49647
1	53	26580
2	55	18546
3	58	14550
4	60	12124
5	63	10532
6	66	9386
7	68	8491
8	70	7786
9	72	7220
10	75	6768
11	78	6436
12	80	6130
13	83	5866
14	85	5612
15	87	5408
16	90	5218
17	93	5081
18	95	4923
19	97	4781
20	99	4656
21	102	4548
22	104	4448
23	107	4364
24	109	4275
25	111	4187
26	113	4100
27	115	4022
28	118	3956
29	119	3879
30	121	3803
31	123	3744
32	125	3671
33	127	3623
34	130	3598
35	133	3564
36	134	3509
37	135	3440
38	137	3395
39	139	3346
40	141	3312
41	143	3276
42	144	3224
43	147	3198
44	149	3170
45	151	3135
46	152	3083
47	153	3054
48	155	3021
49	157	2987
50	158	2952
51	160	2918
52	161	2884
53	162	2851
54	163	2816
55	165	2782
56	166	2748
57	167	2715
58	168	2683
59	169	2650
60	170	2619
61	171	2587
62	171	2557
63	172	2526
64	173	2497
65	174	2469
66	175	2443
67	176	2416
68	177	2388
69	177	2363
70	178	2340
71	179	2318
72	180	2293
73	181	2270
74	182	2247
75	183	2227
76	184	2206
77	184	2184
78	185	2163
79	186	2143
80	187	2124
81	188	2104
82	188	2085
83	189	2066
84	190	2048
85	191	2030
86	191	2012
87	192	1994
88	193	1977
89	193	1961
90	194	1944
91	195	1928
92	196	1912
93	196	1897
94	197	1881
95	198	1867
96	199	1853
97	200	1840
98	200	1827
99	201	1814
100	202	1800
101	203	1787
102	203	1774
103	204	1762
104	205	1749
105	205	1736
106	206	1724
107	207	1712
108	208	1700
109	208	1689
110	209	1678
111	210	1667
112	211	1656
113	211	1646
114	212	1635
115	213	1625
116	213	1614
117	214	1604
118	215	1594
119	216	1584
120	216	1574
121	217	1564
122	217	1554
123	218	1544
124	219	1534
125	219	1525
126	220	1515
127	221	1506
128	221	1496
129	222	1487
130	222	1478
131	223	1469
132	224	1460
133	224	1451
134	225	1443
135	225	1435
136	226	1426
137	227	1418
138	227	1410
139	228	1401
140	228	1393
141	229	1385
142	229	1378
143	230	1370
144	231	1362
145	231	1354
146	232	1346
147	232	1338
148	233	1331
149	233	1323
150	233	1315
151	234	1308
152	234	1300
153	235	1293
154	235	1286
155	236	1279
156	236	1272
157	237	1264
158	237	1257
159	238	1251
160	238	1244
161	239	1237
162	239	1230
163	240	1224
164	240	1217
165	241	1211
166	241	1204
167	242	1199
168	242	1193
169	243	1187
170	243	1181
171	244	1175
172	244	1169
173	245	1163
174	245	1158
175	246	1152
176	246	1147
177	247	1141
178	247	1135
179	248	1129
180	248	1124
181	248	1118
182	249	1113
183	249	1107
184	250	1102
185	250	1097
186	251	1091
187	251	1086
188	252	1081
189	252	1076
190	252	1071
191	253	1066
192	253	1061
193	254	1056
194	254	1051
195	255	1046
196	255	1041
197	256	1037
198	256	1032
199	256	1027
200	257	1023
201	258	1019
202	258	1014
203	258	1010
204	259	1005
205	259	1001
206	260	997
207	260	993
208	261	989
209	261	985
210	262	981
211	263	977
212	263	973
213	263	969
