epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69638,0.47382,1.43701,1.00799,0.7742,0.63618,0.75456,0.52915,0.81237,2.30815,1.55145,0.000661538,0.000661538,0.000661538
2,18.2266,0.56284,0.96121,1.05638,0.80795,0.59002,0.73015,0.54542,0.87343,1.70462,1.48162,0.00130191,0.00130191,0.00130191
3,26.5186,0.59791,0.86766,1.07355,0.74148,0.6471,0.75325,0.60893,0.74392,2.09858,1.36044,0.00191587,0.00191587,0.00191587
4,34.7017,0.5675,0.7492,1.05259,0.77514,0.74187,0.81411,0.66906,0.70638,1.00143,1.33435,0.0018812,0.0018812,0.0018812
5,42.8823,0.55025,0.66986,1.04408,0.84267,0.7185,0.83206,0.6831,0.61275,0.93583,1.2017,0.0018416,0.0018416,0.0018416
6,51.1515,0.51174,0.6348,1.01687,0.95749,0.79675,0.91759,0.81769,0.46649,0.68552,1.10707,0.001802,0.001802,0.001802
7,59.3185,0.49477,0.59294,1.0127,0.92842,0.82927,0.91986,0.82267,0.4533,0.57788,1.08245,0.0017624,0.0017624,0.0017624
8,67.5282,0.48531,0.57602,1.00233,0.92491,0.80117,0.90228,0.80454,0.46099,0.60729,1.08262,0.0017228,0.0017228,0.0017228
9,75.6747,0.46453,0.53573,0.99506,0.94945,0.82724,0.90981,0.81726,0.48112,0.58575,1.08101,0.0016832,0.0016832,0.0016832
10,83.9186,0.44018,0.50307,0.98023,0.95816,0.83788,0.92293,0.83814,0.4211,0.55211,1.05299,0.0016436,0.0016436,0.0016436
11,92.1071,0.42357,0.47994,0.97589,0.95415,0.85772,0.94316,0.87443,0.36133,0.46634,1.00422,0.001604,0.001604,0.001604
12,100.294,0.41391,0.47661,0.96884,0.94773,0.84758,0.9291,0.84538,0.4163,0.56509,1.05239,0.0015644,0.0015644,0.0015644
13,108.47,0.41006,0.46015,0.96431,0.91601,0.87195,0.94321,0.87095,0.38409,0.46485,1.01683,0.0015248,0.0015248,0.0015248
14,116.719,0.40113,0.44801,0.9556,0.97911,0.86992,0.95124,0.87625,0.37159,0.4535,1.01071,0.0014852,0.0014852,0.0014852
15,124.928,0.38936,0.44217,0.95725,0.96125,0.89431,0.9531,0.87674,0.38548,0.38006,1.03975,0.0014456,0.0014456,0.0014456
16,133.165,0.38505,0.42856,0.95125,0.92499,0.88821,0.94955,0.87586,0.40156,0.44118,1.05605,0.001406,0.001406,0.001406
17,141.399,0.38723,0.41153,0.95466,0.90108,0.85976,0.92125,0.86572,0.36184,0.62174,1.00376,0.0013664,0.0013664,0.0013664
18,149.671,0.35855,0.39772,0.94173,0.96203,0.87537,0.94266,0.8843,0.35394,0.40957,1.01487,0.0013268,0.0013268,0.0013268
19,157.879,0.35934,0.37815,0.94327,0.95279,0.90236,0.95316,0.88651,0.34566,0.36314,1.01806,0.0012872,0.0012872,0.0012872
20,166.179,0.35698,0.37931,0.94304,0.93354,0.91363,0.95591,0.88922,0.35643,0.375,1.02009,0.0012476,0.0012476,0.0012476
21,174.429,0.35394,0.37551,0.93759,0.93627,0.86588,0.94205,0.87963,0.35722,0.40546,0.99996,0.001208,0.001208,0.001208
22,182.738,0.34592,0.361,0.93071,0.9782,0.89228,0.96067,0.91245,0.30189,0.37417,0.95016,0.0011684,0.0011684,0.0011684
23,190.989,0.33994,0.35975,0.93618,0.97706,0.86583,0.95095,0.89047,0.31263,0.36088,0.96257,0.0011288,0.0011288,0.0011288
24,199.225,0.33498,0.35119,0.93416,0.97981,0.88765,0.96071,0.89792,0.32959,0.338,0.98071,0.0010892,0.0010892,0.0010892
25,207.521,0.33846,0.34969,0.92962,0.95816,0.91057,0.95813,0.89234,0.35095,0.34406,1.01331,0.0010496,0.0010496,0.0010496
26,215.832,0.32636,0.34084,0.92663,0.9607,0.87602,0.95716,0.90035,0.31544,0.32687,0.99488,0.00101,0.00101,0.00101
27,224.149,0.32838,0.34719,0.93308,0.94752,0.92886,0.96447,0.91506,0.30918,0.34564,0.96575,0.0009704,0.0009704,0.0009704
28,232.442,0.31291,0.31933,0.91854,0.97184,0.91187,0.96256,0.91591,0.29186,0.3178,0.96416,0.0009308,0.0009308,0.0009308
29,240.719,0.32149,0.32614,0.92636,0.94593,0.89837,0.95255,0.89651,0.30787,0.35261,0.97873,0.0008912,0.0008912,0.0008912
30,249.057,0.30761,0.3166,0.91307,0.98247,0.91112,0.96239,0.90957,0.29385,0.31068,0.95776,0.0008516,0.0008516,0.0008516
31,257.36,0.31134,0.30438,0.92354,0.96198,0.9126,0.96071,0.91509,0.3016,0.34146,0.97908,0.000812,0.000812,0.000812
32,265.654,0.30425,0.30377,0.91848,0.9598,0.92209,0.96082,0.91293,0.27636,0.31645,0.94766,0.0007724,0.0007724,0.0007724
33,273.921,0.2964,0.28788,0.91338,0.97705,0.91057,0.96053,0.90849,0.29986,0.31852,0.96171,0.0007328,0.0007328,0.0007328
34,282.239,0.28651,0.28367,0.91206,0.96799,0.92211,0.96212,0.91717,0.27839,0.30754,0.95761,0.0006932,0.0006932,0.0006932
35,290.55,0.29388,0.28673,0.91545,0.97198,0.9065,0.95671,0.90882,0.29869,0.31531,0.97603,0.0006536,0.0006536,0.0006536
36,298.831,0.28618,0.28038,0.90811,0.97808,0.90693,0.9614,0.91749,0.27193,0.29847,0.95959,0.000614,0.000614,0.000614
37,307.13,0.28196,0.2699,0.90806,0.9752,0.9065,0.96092,0.91847,0.25253,0.28748,0.9369,0.0005744,0.0005744,0.0005744
38,315.457,0.27873,0.27264,0.90419,0.96796,0.90854,0.95721,0.91972,0.24738,0.27428,0.92979,0.0005348,0.0005348,0.0005348
39,323.769,0.27286,0.25835,0.90306,0.99885,0.91667,0.96395,0.92327,0.25013,0.2777,0.94018,0.0004952,0.0004952,0.0004952
40,332.057,0.27839,0.26404,0.90374,0.98914,0.92584,0.97235,0.92889,0.27223,0.27984,0.95104,0.0004556,0.0004556,0.0004556
