epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15933,0.59926,2.34053,1.07524,0.0036,0.9,0.7257,0.58729,0.47216,2.76519,1.1093,0.00042,0.00042,0.00042
2,3.66919,0.54593,1.48856,1.03768,0.81823,0.65027,0.75279,0.55996,0.73318,2.32428,1.31885,0.000842972,0.000842972,0.000842972
3,5.17778,0.62495,1.34357,1.08965,0.29111,0.44444,0.24641,0.13083,1.03686,2.86083,1.806,0.00124852,0.00124852,0.00124852
4,6.67602,0.68578,1.26592,1.12079,0.74628,0.51111,0.5952,0.46324,0.76671,2.35057,1.45186,0.00163664,0.00163664,0.00163664
5,8.16554,0.65745,1.19544,1.07924,0.69714,0.51111,0.59578,0.44303,0.92627,2.26258,1.69607,0.0018416,0.0018416,0.0018416
6,9.65219,0.66266,1.15176,1.10957,0.62001,0.56667,0.59813,0.36718,1.1422,2.33553,1.89609,0.001802,0.001802,0.001802
7,11.1421,0.64271,1.0654,1.08535,0.30414,0.52222,0.25348,0.08864,1.552,5.17739,2.2808,0.0017624,0.0017624,0.0017624
8,12.6188,0.61464,0.99384,1.08404,0.65232,0.58889,0.60024,0.4874,0.89556,1.87991,1.48665,0.0017228,0.0017228,0.0017228
9,14.1102,0.59362,0.89274,1.07261,0.7681,0.58889,0.69036,0.52182,0.86593,1.71679,1.56583,0.0016832,0.0016832,0.0016832
10,15.585,0.59318,0.91227,1.06867,0.70811,0.67778,0.65025,0.4334,0.89556,1.48546,1.4674,0.0016436,0.0016436,0.0016436
11,17.0766,0.59503,0.87819,1.05736,0.83289,0.71111,0.74418,0.62298,0.68571,1.2365,1.24847,0.001604,0.001604,0.001604
12,18.5786,0.5466,0.83611,1.0458,0.93295,0.68889,0.77913,0.61877,0.74617,1.28017,1.34036,0.0015644,0.0015644,0.0015644
13,20.053,0.54112,0.7881,1.04542,0.95434,0.69676,0.79821,0.66116,0.69798,1.05418,1.2848,0.0015248,0.0015248,0.0015248
14,21.5354,0.55096,0.76994,1.04051,0.83683,0.74084,0.79526,0.68544,0.59321,0.96678,1.17872,0.0014852,0.0014852,0.0014852
15,23.0167,0.5345,0.79724,1.02789,0.85271,0.45556,0.58497,0.34031,1.45868,1.64002,1.84063,0.0014456,0.0014456,0.0014456
16,24.4936,0.51572,0.74065,1.01031,0.80383,0.72852,0.78192,0.65367,0.68632,1.19253,1.29134,0.001406,0.001406,0.001406
17,25.9454,0.53778,0.76851,1.03592,0.88419,0.65556,0.76753,0.66077,0.63535,1.05348,1.25606,0.0013664,0.0013664,0.0013664
18,27.4247,0.51886,0.70836,1.00968,0.78239,0.75905,0.78977,0.68753,0.56712,1.20348,1.18579,0.0013268,0.0013268,0.0013268
19,28.9017,0.492,0.64851,0.99286,0.86159,0.73333,0.7882,0.67977,0.62365,1.01498,1.20981,0.0012872,0.0012872,0.0012872
20,30.3742,0.49019,0.67026,0.99981,0.93965,0.72222,0.80917,0.71048,0.59573,0.70242,1.20243,0.0012476,0.0012476,0.0012476
21,31.8595,0.51953,0.72046,1.02007,0.88832,0.74444,0.80922,0.71971,0.59954,0.70793,1.16617,0.001208,0.001208,0.001208
22,33.3486,0.48062,0.65188,0.99656,0.87378,0.76919,0.83978,0.75711,0.50079,0.73405,1.10186,0.0011684,0.0011684,0.0011684
23,34.8211,0.47311,0.65159,0.98797,0.90614,0.77778,0.83412,0.72307,0.62602,0.66359,1.16913,0.0011288,0.0011288,0.0011288
24,36.3023,0.42607,0.57717,0.97267,0.90582,0.74814,0.81248,0.72922,0.5758,0.62934,1.10212,0.0010892,0.0010892,0.0010892
25,37.7715,0.46309,0.59732,0.99014,0.94837,0.76667,0.84982,0.7535,0.51861,0.55631,1.08056,0.0010496,0.0010496,0.0010496
26,39.2426,0.42955,0.57159,0.98387,0.97098,0.74368,0.8585,0.76514,0.49046,0.53858,1.04162,0.00101,0.00101,0.00101
27,40.7218,0.47011,0.61555,1.01128,0.94077,0.74444,0.85038,0.78498,0.43958,0.55468,1.01706,0.0009704,0.0009704,0.0009704
28,42.2191,0.40935,0.56228,0.96579,0.91081,0.83333,0.8723,0.78309,0.43297,0.5448,1.05247,0.0009308,0.0009308,0.0009308
29,43.6892,0.42166,0.58782,0.96214,0.96432,0.78889,0.87103,0.80503,0.39092,0.53136,1.01016,0.0008912,0.0008912,0.0008912
30,45.181,0.40699,0.52523,0.96335,0.94057,0.87931,0.88599,0.80858,0.40799,0.52984,0.98742,0.0008516,0.0008516,0.0008516
31,46.6662,0.41667,0.53974,0.97671,0.92612,0.81111,0.87343,0.80556,0.40051,0.54414,0.98783,0.000812,0.000812,0.000812
32,48.1588,0.40967,0.54624,0.96699,0.93666,0.82161,0.8673,0.79773,0.43668,0.5922,1.02336,0.0007724,0.0007724,0.0007724
33,49.6413,0.40757,0.53295,0.95766,0.93225,0.82222,0.87937,0.81412,0.38953,0.49998,0.98316,0.0007328,0.0007328,0.0007328
34,51.1345,0.38443,0.51565,0.96543,0.92289,0.7979,0.85895,0.80097,0.43744,0.56268,1.05112,0.0006932,0.0006932,0.0006932
35,52.6081,0.36546,0.47498,0.94719,0.96142,0.83069,0.88029,0.82712,0.37836,0.46603,0.98923,0.0006536,0.0006536,0.0006536
36,54.1002,0.37874,0.51059,0.95409,0.95981,0.79607,0.87043,0.81621,0.3825,0.53984,0.97678,0.000614,0.000614,0.000614
37,55.5718,0.38307,0.51135,0.95425,0.92216,0.78975,0.87151,0.81995,0.3665,0.50254,0.97759,0.0005744,0.0005744,0.0005744
38,57.0522,0.35948,0.46725,0.93756,0.94921,0.81111,0.88236,0.82347,0.37677,0.47119,0.98029,0.0005348,0.0005348,0.0005348
39,58.5333,0.3621,0.45077,0.94365,0.96165,0.78889,0.88225,0.8158,0.35034,0.47445,0.96196,0.0004952,0.0004952,0.0004952
40,60.024,0.38849,0.50199,0.95644,0.97296,0.79959,0.86792,0.81438,0.3584,0.52283,0.98253,0.0004556,0.0004556,0.0004556
41,61.9517,0.36661,0.59748,0.97818,0.97749,0.78889,0.85876,0.80897,0.38868,0.5682,0.9817,0.000416,0.000416,0.000416
42,63.4564,0.33328,0.48158,0.96844,0.97361,0.81997,0.86842,0.83756,0.34109,0.51026,0.96014,0.0003764,0.0003764,0.0003764
43,64.9324,0.32468,0.48875,0.94457,0.94959,0.8373,0.87763,0.84601,0.35374,0.46686,0.9518,0.0003368,0.0003368,0.0003368
44,66.4104,0.3205,0.46459,0.93091,0.96209,0.84606,0.88246,0.84789,0.33218,0.44604,0.93144,0.0002972,0.0002972,0.0002972
45,67.8955,0.31152,0.42479,0.93354,0.9619,0.84148,0.88236,0.83237,0.33962,0.45273,0.95218,0.0002576,0.0002576,0.0002576
46,69.385,0.31571,0.45557,0.94049,0.99417,0.82222,0.88651,0.84071,0.34581,0.45435,0.96095,0.000218,0.000218,0.000218
47,70.856,0.30468,0.43137,0.9207,0.98019,0.82222,0.88944,0.84352,0.34504,0.43235,0.97865,0.0001784,0.0001784,0.0001784
48,72.3411,0.29372,0.39543,0.93086,0.98648,0.81081,0.89066,0.85134,0.31446,0.42693,0.94746,0.0001388,0.0001388,0.0001388
49,73.8248,0.28106,0.38362,0.89345,0.97304,0.83333,0.89462,0.84744,0.31713,0.4224,0.94972,9.92e-05,9.92e-05,9.92e-05
50,75.3106,0.26762,0.37652,0.89829,0.98639,0.83333,0.89815,0.85662,0.31091,0.40457,0.95031,5.96e-05,5.96e-05,5.96e-05
