epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12478,0.56405,2.3296,1.05157,0.00356,0.97561,0.73672,0.59271,0.48304,2.80348,1.1292,0.00042,0.00042,0.00042
2,3.67578,0.53381,1.48976,1.03764,0.62479,0.54878,0.65511,0.37699,0.81031,2.75855,1.58205,0.000842972,0.000842972,0.000842972
3,5.17698,0.54736,1.29294,1.03792,0.65027,0.4878,0.55604,0.29708,1.16486,2.93457,1.76796,0.00124852,0.00124852,0.00124852
4,6.67511,0.63401,1.29249,1.10763,0.73737,0.54785,0.66456,0.39361,1.09807,2.7747,1.85579,0.00163664,0.00163664,0.00163664
5,8.15634,0.63408,1.17967,1.08229,0.16567,0.39024,0.18367,0.08147,1.68887,3.61663,2.99257,0.0018416,0.0018416,0.0018416
6,9.65614,0.64251,1.1424,1.10057,0.49244,0.34146,0.3695,0.23963,1.4488,2.8593,2.31367,0.001802,0.001802,0.001802
7,11.1247,0.62782,1.06014,1.08166,0.73097,0.67073,0.75341,0.54808,0.83912,1.94668,1.60454,0.0017624,0.0017624,0.0017624
8,12.5798,0.5797,0.95354,1.05668,0.82748,0.60976,0.70372,0.57719,0.78681,1.61883,1.52024,0.0017228,0.0017228,0.0017228
9,14.0261,0.55254,0.87627,1.05707,0.80815,0.56098,0.68064,0.51781,0.88866,1.70568,1.53112,0.0016832,0.0016832,0.0016832
10,15.5091,0.52483,0.85519,1.03618,0.71381,0.69964,0.76551,0.5622,0.88261,1.76834,1.42966,0.0016436,0.0016436,0.0016436
11,16.9786,0.56776,0.8351,1.04354,0.74088,0.66253,0.72948,0.56691,0.74196,1.85007,1.32977,0.001604,0.001604,0.001604
